No.	単語	品詞	意味	用例	追加
1	a	冠	一つの、一人の	a book / a girl	
2	able	形	・・・することができる	be able to speak English 	
3	about	前・副	・・・について（の）、・・・に関して、・・・に関する、およそ、約～	talk about music / about 40 students	
4	above	前	・・・の上に（の）　 ※接触せずにより高い位置にあることを言う。	above your head	
5	abroad	副	外国に（へ、で）、海外に（へ、で）	study abroad	
6	accept	動	・・・を受け入れる、・・・を受け取る、・・・を承諾する	accept a present	
7	accident	名	事故、災難、故障	have an accident	
8	according to		・・・によれば	according to his report	
9	across	前	・・・を横切って、・・・を渡って	walk across the street	
10	act	動	行動する、ふるまう	act quickly	
11	action	名	行動、行為	a plan of action	
12	active	形	活動的な	an active woman	
13	activity	名	活動	a club activity	
14	actor	名	俳優、男優（男女を問わず用いるが、男優をさす場合が多い）	a kabuki actor	
15	actress	名	女優	a good actress	
16	actually	副	本当に、実際には	She didn't actually say that.	
17	add	動	・・・を加える	add some water	
18	addition	名	追加	in addition （加えて）	
19	address	名	住所	my address	
20	adult	名	大人、成人	become an adult	
21	advantage	名	利点、長所	have a big advantage	
22	adventure	名	冒険	read the story about her adventure	
23	advice	名	忠告、アドバイス	give advice to her	
24	afraid	形	(be afraid of / be afraid that )恐れている　	Some people are afraid of dark places./ I'm afraid that it will rain.	○
25	Africa	名	アフリカ	go to Africa	
26	after	前	・・・のあとに（で）、・・・してから	after dinner	
27	after	接	・・・したあとで	after I ate dinner	
28	afternoon	名	午後	in the afternoon	
29	again	副	もう一度	see him again	
30	against	前	・・・に反対して、・・・に反して、・・・に対して	against his advice	
31	age	名	年齢、年	different ages	
32	ago	副	（今から）・・・前に	five years ago	
33	agree	動	賛成する	agree with her	
34	air	名	空気	fresh air	
35	airport	名	空港	arrive at the airport	
36	all	形	すべての	all the students	
37	all	代	・・・のすべて、全員、全部	All of the students…	
38	all	副	まったく、すっかり	That's all right.	
39	allow	動	（～に）・・・するのを許す（許可する）	allow him to study abroad	
40	almost	副	ほとんど	almost all of them	
41	alone	副	ただ１人で	go home alone	
42	along	前	・・・に沿って	walk along the street	
43	already	副	すでに、もう	have already cleaned the room	
44	also	副	・・・もまた	Tom and also Jim	
45	although	接	・・・だけれども、・・・にもかかわらず	Although it is raining, ...	
46	always	副	いつも、常に	She always drinks tea in the morning.	
47	am	動	（beの一人称・単数・現在形）	"Are you happy?" "Yes, I am."	
48	a.m.	副	午前	at 9 a.m.	
49	amazing	形	びっくりするような、信じられないほどの	have an amazing experience	
50	America	名	アメリカ（合衆国）	go to America	
51	American	名・形	アメリカ人（の）、アメリカ（合衆国）の	She is an American. / American people	
52	among	前	（３人・３つ以上）の間に	among the trees	
